edges,distance,location_id,PV_NAAM,node_from,node_to,value
"(44250189, 44155110, 0)",0.00034725262894875645,RWS01_MONICA_00D00F065838D007000B,Zuid-Holland,44250189.0,44155110.0,
"(44250189, 44155110, 0)",0.00034725262894875645,RWS01_MONICA_00D00F065838D007000F,Zuid-Holland,44250189.0,44155110.0,
"(44250189, 44155110, 0)",0.00034600604655368776,RWS01_MONICA_00D00F068424D0070007,Zuid-Holland,44250189.0,44155110.0,1384.076923076923
"(44250189, 44155110, 0)",0.00034600604655368776,RWS01_MONICA_00D00F068424D007000B,Zuid-Holland,44250189.0,44155110.0,3875.0714285714284
"(44250189, 44155110, 0)",0.00034600604655368776,RWS01_MONICA_00D00F068424D007000F,Zuid-Holland,44250189.0,44155110.0,880.7142857142857
"(44155561, 846231724, 0)",0.000639099876507305,RWS01_MONICA_00D00F06941ED0050005,Zuid-Holland,44155561.0,846231724.0,1309.5
"(44155561, 846231724, 0)",0.000639099876507305,RWS01_MONICA_00D00F06941ED0050009,Zuid-Holland,44155561.0,846231724.0,2991.6666666666665
"(44155561, 846231724, 0)",0.000639099876507305,RWS01_MONICA_00D00F06941ED005000D,Zuid-Holland,44155561.0,846231724.0,1772.6666666666667
"(44151140, 44155561, 0)",0.0008594361392652317,RWS01_MONICA_00D00F06B804D0050005,Zuid-Holland,44151140.0,44155561.0,1343.7857142857142
"(44151140, 44155561, 0)",0.0008594361392652317,RWS01_MONICA_00D00F06B804D0050009,Zuid-Holland,44151140.0,44155561.0,3310.1428571428573
"(44151140, 44155561, 0)",0.0008594361392652317,RWS01_MONICA_00D00F06B804D005000D,Zuid-Holland,44151140.0,44155561.0,810.9285714285714
"(44155110, 44150687, 0)",0.0008570273314669724,RWS01_MONICA_00D00F06B810D0070007,Zuid-Holland,44155110.0,44150687.0,1393.2857142857142
"(44155110, 44150687, 0)",0.0008570273314669724,RWS01_MONICA_00D00F06B810D007000B,Zuid-Holland,44155110.0,44150687.0,3598.285714285714
"(44155110, 44150687, 0)",0.0008570273314669724,RWS01_MONICA_00D00F06B810D007000F,Zuid-Holland,44155110.0,44150687.0,1078.5714285714287
"(44149652, 44150687, 0)",0.0008423047310506328,RWS01_MONICA_00D00F06C41408200007,Zuid-Holland,44149652.0,44150687.0,524.8571428571429
"(44151140, 44151885, 0)",0.0008595072565763802,RWS01_MONICA_00D00F06C41410200005,Zuid-Holland,44151140.0,44151885.0,1172.5
"(44153479, 44154751, 0)",0.0008371624447632007,RWS01_MONICA_00D00F06F40000200007,Zuid-Holland,44153479.0,44154751.0,606.2857142857143
"(44152563, 44157385, 0)",14.746406163185702,RWS01_MONICA_00D00F06F400B8200007,Zuid-Holland,44152563.0,44157385.0,742.9285714285714
"(44159129, 44153346, 0)",0.0008414000248099607,RWS01_MONICA_00D00F06F428D0050005,Zuid-Holland,44159129.0,44153346.0,1700.0714285714287
"(44159129, 44153346, 0)",0.0008414000248099607,RWS01_MONICA_00D00F06F428D0050009,Zuid-Holland,44159129.0,44153346.0,3072.785714285714
"(44159129, 44153346, 0)",0.0008414000248099607,RWS01_MONICA_00D00F06F428D005000D,Zuid-Holland,44159129.0,44153346.0,684.7142857142857
"(44155631, 44153346, 0)",0.0008428809572290492,RWS01_MONICA_00D00F06F43618200005,Zuid-Holland,44155631.0,44153346.0,441.57142857142856
"(44159129, 44153346, 0)",12.923557321173904,RWS01_MONICA_00D00F06F436C0200005,Zuid-Holland,44159129.0,44153346.0,706.5
"(44152563, 44157385, 0)",0.0008276245906619201,RWS01_MONICA_00D00F071410D0070007,Zuid-Holland,44152563.0,44157385.0,1785.2142857142858
"(44152563, 44157385, 0)",0.0008276245906619201,RWS01_MONICA_00D00F071410D007000B,Zuid-Holland,44152563.0,44157385.0,3375.5714285714284
"(44152563, 44157385, 0)",0.0008276245906619201,RWS01_MONICA_00D00F071410D007000F,Zuid-Holland,44152563.0,44157385.0,682.1428571428571
"(44159129, 44158642, 0)",0.0008209623371361364,RWS01_MONICA_00D00F07184610200005,Zuid-Holland,44159129.0,44158642.0,997.8571428571429
"(44159129, 44158642, 0)",0.0008209623371361364,RWS01_MONICA_00D00F07184610200009,Zuid-Holland,44159129.0,44158642.0,2253.714285714286
"(1661687773, 1661687743, 0)",0.35242605994060666,RWS01_MONICA_00D00F07283BB8200007,Zuid-Holland,1661687773.0,1661687743.0,806.2857142857143
"(1661687625, 44159129, 0)",0.000845693302499804,RWS01_MONICA_00D00F073440D0050005,Zuid-Holland,1661687625.0,44159129.0,3003.5714285714284
"(1661687625, 44159129, 0)",0.000845693302499804,RWS01_MONICA_00D00F073440D0050009,Zuid-Holland,1661687625.0,44159129.0,3285.214285714286
"(1661687625, 44159129, 0)",0.000845693302499804,RWS01_MONICA_00D00F073440D005000D,Zuid-Holland,1661687625.0,44159129.0,482.35714285714283
"(44157385, 1367124956, 0)",0.000845687491264149,RWS01_MONICA_00D00F07344CD0070007,Zuid-Holland,44157385.0,1367124956.0,3158.785714285714
"(44157385, 1367124956, 0)",0.000845687491264149,RWS01_MONICA_00D00F07344CD007000B,Zuid-Holland,44157385.0,1367124956.0,4821.285714285715
"(44157385, 1367124956, 0)",0.000845687491264149,RWS01_MONICA_00D00F07344CD007000F,Zuid-Holland,44157385.0,1367124956.0,983.8571428571429
"(3647888592, 44160799, 0)",0.9400097864699959,RWS01_MONICA_00D00F073C18C0200005,Zuid-Holland,3647888592.0,44160799.0,601.5714285714286
